Bac,Moyenne,Math,Physique,Science,Anglais,Francais,Arabe,Philo,Info,Sport,Option,Code
2,11.46,12,8.25,8.5,14.75,11.75,11.87,8,14.25,19.67,12.25,70522
2,14.36,15,13,13,17,11,11,11,15.75,19.33,16.5,30570
2,13,10,14,15,13,14,13,8,16,19.91,12,35523
2,10.64,6.75,9.75,9,18,15.75,16.75,13.5,16,19.75,18,30102
2,13.4,13.5,11.75,15.5,18.75,12,12,6,19,19,19.75,22566
2,15.8,16.75,12.25,15.75,13.5,17.5,17,15.75,14.5,19.5,19.25,10422
2,12.87,15,13,12,16,10,19,6,10,16,7,10312
2,16.29,15.5,16.75,13.75,17.5,15,12,11,17.5,17.5,19.5,34702
2,12.32,9.5,9,15,18.25,15,13.5,8,15.75,15.66,19.75,22311
2,11.39,5.25,9.75,10.5,17,15.5,15.75,13,13.5,19.5,17,34523
2,12.73,10.5,11,15.75,16,10.5,11.25,12.75,15.25,18,19.5,22568
2,10.24,8,10,12,9,8,12,11,10,17,9,22311
2,16.07,15,17.5,16,18.75,14,10,11,19,19,19,34518
2,12.29,11.5,12.5,10,8,8,14,9,18,19,19,30311
2,12.44,12.25,12.25,8,17.5,7.75,8.87,8.75,16,17.83,14,11573
2,10.27,11.75,5.5,2,14.5,3,11.5,10.5,6,19.7,15.5,40524
2,13.5,11.5,15.25,10.5,6.75,10,12.25,11,17.75,19.33,18,36523
2,13.95,14.5,12,14,15.5,13.75,12.12,13,12.2,19.93,14.5,30571
2,14.37,14.75,14.75,10.5,16.5,7.75,12,11,14.64,19.75,19.75,10747
2,14.01,14.5,12,16,16,13,10,8,15,18,18.75,30571
2,15.83,16.5,13.5,12.5,18.5,16.5,15.5,11,19.27,18.5,19.25,30571
2,15.26,16.25,16,14,15,5.75,9,10,18.25,18,20,30571
2,16.14,15,17.75,12,19,15,13.5,9,19,19.83,19,30571
2,11.01,11.25,10.75,7.25,12.75,12.75,12.75,4.5,16.75,16.5,16.75,22311
2,11.6,11.5,10.5,13.5,11.5,9,10,6,17.5,18.5,14,23566
2,14.33,11.25,15.75,10,18,11.25,10,9,18,19,18,35523
2,12.35,12,10,10,17,8,12,10,15,19,16,30504
2,11.3,11,12,13,10,9,8.5,11,15,19,11.30,30504
2,10.93,7.75,11.5,11,11,9,11.25,11.75,17,16,15,30504
2,11.62,13,13,9,10,4,11,11.62,11.62,11.62,11.62,30504
