Bac,Moyenne,Physique,Science,Math,Anglais,Francais,Arabe,Philo,Info,Sport,Option,Code
4,11,9.25,14,8,17,15.5,10,7,11,17,11,22312
4,16.11,15.25,16.75,14.25,17.25,14,11.62,14.25,18.87,19.13,18,34702
4,13.26,11,14,13,17.75,16,10.5,9,17,18,12,22566
4,12.3,10,14,11,17,9,14,5,9,18,14,22311
4,14.8,15.25,15,15.75,11,13.25,11.37,10.25,12,18,17.5,31318
4,14.87,15.75,16.75,13,18.25,16,8.87,9.25,17,19,18,34518
4,12,13.5,12.5,8.5,16,14.75,10,10.75,8.5,19.9,19,40301
4,13.75,13,16,12,17,6.25,12,9,12,16,19.75,10523
4,12.56,12.5,10.75,9.75,18,11,11.87,9,12.5,19.54,19.5,31312
4,10.56,9.75,15.75,4,14,10.75,5,4,8.75,18.96,16,22568
4,10.35,11,12,8,17,12,11,9,10,18,10,22312
4,14.64,17,16,13,15,10,10,5.75,13,18,17,34702
4,11.7,8,17,8,17,7,6,11.25,10.75,19,16,11573
4,11.42,13.5,12,9,14,9,5,6,13,18,19.75,37311
4,10.04,7.5,12,4.5,14.75,10.25,11.75,9.5,8.75,19,14,22311
4,12.75,13.5,12.75,15,14.5,10,7.62,11.5,7,12,14,34522
4,12.17,6.75,15.5,11.25,17.75,17,9.76,6,7.5,18.25,18,11311
4,11.63,12.59,9,14,18,10,8,8,12,18,18.5,22311
4,13.01,9,14.5,13.5,18.75,10,11,5.75,16,18.5,14.75,36523
4,11.52,12,11.75,4.75,14,10,13,12.5,15,19,17.25,34501
4,14.53,13.75,12.75,16.25,18.75,14,11,6.75,17.75,17.5,17,22522
4,15.62,15.25,16.5,12.5,19,18,10.75,13.25,13,19.75,19,34702
4,10.09,6.25,9.5,11.25,12.25,12,9,11.25,7.25,16.66,16,34102
4,12.08,12,11.25,13.25,14.5,9.5,3.37,9.75,13.25,20,13.25,35523
4,13.33,10.5,12.75,12.25,17.5,17.5,13.75,10.5,10.25,20,18.25,22568
4,16.71,17,17.75,14.5,18,11.25,13.25,12.25,18.62,18.56,19.75,10377
4,12.38,12.5,12.75,13,11.75,5,8.87,9.75,9.37,18.25,17.5,10311
4,10.9,11,13,9,13,7,10,12,8,19.2,17,84509
4,12.42,12.5,7,14,19,12,13,7,13,20,18,34522
4,10.25,8.75,10.25,5,14.5,11.25,9.75,12,12.45,17,15,36566
4,15.77,15.5,18.25,16.5,13.5,12,10,11,10,18,17.5,31318
4,12.12,10.5,9,10,17,13.5,13.75,13.25,15.5,16.5,18.5,34523
4,11,12,8,7.5,12,10,5,12,12,18.5,18,34546
4,13.45,14.75,12,11.75,15,13,14,13,11,20,12,34522
4,14,11.5,18.25,13,14,8,13.5,12.25,6,18,18.25,10747
4,13.91,12,17,17,9,9,9,10,11,17,19,10747
4,14.04,15.75,15.75,11,16,10.5,10,10.5,17.25,19,19.25,30519
4,14.06,12,17,15,15,13,13,7,15,18,10.75,30519
4,15.3,17,18,12,16.5,12,12,11.25,9,18.9,19.75,34518
4,15.21,18,15,13,14,14,13,10,14,17,18.75,10546
4,14.8,12.75,16.5,14.5,18,14.75,12.25,10,16,14.8,17,10301
4,15.7,13.5,14.5,14.75,19.75,16,16,13.5,18.75,19.56,17,10301
4,16.01,13,12.5,20,16,19.75,16,15,16,18.5,19,10301
4,11,9.5,10,12.75,14,11.75,8.5,5.75,12,19,13.75,23566
4,15.41,15,18.5,14,12,9.75,13,13.5,12,19.5,12,10301
4,16.5,15,16,16,19,14.75,17,14,16.25,18.5,18.75,10301
4,11.9,10.5,12.5,12,15,10,9.75,6,12.25,18.75,11,22566
4,11.31,11.75,11.5,12.5,7.5,10,8.5,5.5,18.75,18,18,22566
4,16.14,14.75,15.75,18.75,19.5,13,13,14,14.5,13,17,10301
4,16.56,17,13.5,18.5,18.5,15,17,12,16.25,19.66,15.5,10301
4,13.1,8.5,15.25,9.5,17.5,17.5,15,12,14.75,13.1,19.5,10301
4,16.18,15,15,18.75,17.75,11.5,13,12,17,19.95,19.75,10301
