Bac,Moyenne,ElectriqueMecanique,Math,Physique,Anglais,Francais,Arabe,Philo,Info,TechnologieAppliquee,Sport,Option,Code
6,10.05,10.67,6.5,9.5,18.5,12,7,8,2.75,17.5,18.5,12,22568
6,12,11,11,12,6,6,6,9,10,17.5,19,14,22566
6,11.14,12,10,9,14,6,8.75,9,11,17,19,4,22566
6,15.99,16.57,14.75,15,14.5,12.5,13,11.75,19.25,18,19,19.5,22532
6,12.04,12,8,11.25,14.5,13.5,8,10,15,17,18,13,12629
6,15.7,17.62,13.25,16.5,16.5,16.75,10.5,6.75,14.37,16.61,19.5,18.25,35422
6,10.94,15.37,6.5,8.75,11,9.25,9,6,10,19,19,8.75,30311
6,15.5,16,15.5,16,17,10,10,10,19,18,19,19,30519
6,12.24,12.67,11.6,13.75,12,11.5,9,6,9.75,17.5,13.5,13.5,22568
6,11,13.8,6,8,14,11,10,7,11,20,17,20,36523
6,14.9,13.75,16,15,17,11,13,16.26,8,19,19.88,19,50532
6,15.82,15.5,17,16.75,12,12,15,7,13,20,20,19.25,50532
6,16.56,16.5,17.75,19,15,9,11,9,16.5,16,19.86,18.75,30571
6,16.51,18,18.25,15.75,16.5,13.5,7,10.5,19.75,20,19.83,16.5,30566
6,17.79,15.5,18.25,18.5,18,19,13.5,11.5,16,17,18.25,19.5,30566
6,15.75,18.75,18.78,18,13.25,9.25,10,5.75,12.75,20,19.87,15,35522
6,15.27,19,13.5,18,18,15,10,4,15,19,20,17,35522
6,14.93,15.17,12.75,13.75,16.75,17.75,15.5,10.5,11.25,19,19,15,11301
6,11.35,15.25,10.5,13.5,5,0,8,8.25,3.75,16.5,16.66,15,30504
6,15.05,15.65,13.25,16.5,11,9,12.62,12,16.5,18.95,17.66,16.5,70532
6,11.53,14,11,12,9.75,9,10,8,6,19.75,19.5,9.75,30504
6,12.37,12.91,9.5,14.75,16,8,11,9.75,11.25,16.5,12.37,11.5,34629
6,10.92,10.05,9,9,14.5,9.5,8.5,9,6,20,18.5,13,30504
